id,recency,total_purchase,frequency,last_purchase_amount,region,gender,age,repeater
1126622341,93,5.5,2,2.99,West,Male,26,No
541744299,311,3.29,1,3.29,Mid-West,Female,47,No
427165172,228,3.45,1,3.45,Mid-West,Male,42,No
471359096,41,6.49,2,3.49,North-West,Male,52,No
449946960,63,11.77,3,7.78,West,Female,53,Yes
3015900435,170,6.18,2,3.19,Mid-Atlantic,Female,33,No
3497233709,341,3.69,1,3.69,North-West,Male,37,No
497984195,163,3.19,1,3.19,Mid-Atlantic,Female,52,Yes
2958048897,351,3.59,1,3.59,South-West,Male,48,No
3031728583,137,5.98,2,2.99,South-West,Female,48,Yes
684601355,193,3.59,1,3.59,West,Female,40,No
744070224,23,6.78,2,4.29,North-West,Male,45,No
735684159,224,3.99,1,3.99,South-West,Male,55,No
3792700024,182,3.59,1,3.59,West,Male,42,Yes
358285500,153,5.98,1,5.98,West,Male,52,Yes
500281838,147,3.19,1,3.19,Mid-Atlantic,Male,32,No
495600545,191,3.19,1,3.19,Mid-Atlantic,Female,47,Yes
2444308785,77,7.62,3,2.24,West,Male,23,No
310021047,303,3.59,1,3.59,South-West,Female,38,No
497812087,216,6.58,1,6.58,Mid-Atlantic,Female,27,Yes
2865391175,73,11.06,3,4.48,West,Female,23,Yes
497568833,273,8.48,2,3.99,Mid-Atlantic,Male,27,No
2596054425,207,3.29,1,3.29,West,Male,43,Yes
4639076736,42,7.98,2,3.99,Mid-Atlantic,Female,37,No
3471635788,68,5.78,2,2.89,Mid-Atlantic,Male,47,Yes
584627547,48,9.98,1,9.98,South-East,Male,37,No
144195244,57,16.14,5,4.49,North-East,Female,42,Yes
713489700,26,3.69,1,3.69,West,Female,40,No
4625460820,32,3.79,1,3.79,Mid-Atlantic,Female,32,Yes
4630083731,122,3.69,1,3.69,South-East,Female,32,Yes
497774629,151,6.38,2,6.38,Mid-Atlantic,Female,32,Yes
445905230,139,5.48,2,2.29,North-West,Female,47,No
1892809688,158,3.49,1,3.49,Mid-West,Male,61,No
2538762650,153,3.35,1,3.35,Mid-West,Female,38,Yes
584176587,39,3.99,1,3.99,Mid-Atlantic,Female,37,No
103767160,134,6.48,1,6.48,South-East,Female,31,No
2948211198,124,13.27,3,3.99,Mid-Atlantic,Female,54,Yes
601338694,33,25.94,7,2.99,Mid-Atlantic,Female,58,Yes
3044379919,223,3.99,1,3.99,Mid-Atlantic,Female,53,Yes
720671062,196,3.79,1,3.79,West,Male,25,Yes
3849001132,24,7.48,2,3.49,North-East,Female,37,Yes
2765055984,299,4.12,1,4.12,North-West,Female,28,No
404021034,57,5.99,2,2.5,West,Male,32,No
3876876342,141,3.19,1,3.19,North-West,Female,42,No
495369169,55,5.99,2,3,Mid-Atlantic,Female,47,Yes
707337969,310,3.49,1,3.49,South-East,Female,50,No
308387455,42,16.47,5,3,South-West,Male,49,No
1824324446,76,9.17,3,3.49,West,Male,51,Yes
689402531,61,8.18,2,4.69,South-East,Female,20,Yes
497445491,81,15.85,3,5.98,Mid-Atlantic,Female,38,No
446252217,181,7.89,2,4.69,West,Female,42,Yes
1019657010,39,21.74,5,3.59,West,Male,57,Yes
4617740876,130,3.99,1,3.99,Mid-West,Female,47,No
4263963768,164,3.59,1,3.59,North-East,Female,47,Yes
565631659,53,11.17,3,3.99,Mid-Atlantic,Male,42,Yes
768518402,74,19.15,5,3.79,South-East,Male,31,No
500487759,61,6.18,2,2.99,Mid-Atlantic,Male,37,No
714397537,290,10.07,3,3.49,West,Male,35,No
143768139,237,10.49,3,2.99,South-West,Female,31,No
704239916,53,18.84,6,3.19,South-East,Female,51,Yes
4628904293,156,6.38,1,6.38,Mid-Atlantic,Male,67,Yes
4021670503,119,3.29,1,3.29,West,Female,42,Yes
452634081,226,5,2,5,West,Female,42,Yes
3382065235,119,3.59,1,3.59,West,Female,42,Yes
3299647807,29,16.62,4,4.29,West,Female,58,Yes
4642204929,59,7.98,1,7.98,Mid-Atlantic,Male,52,Yes
399754603,68,14.85,5,2.79,West,Female,28,Yes
3896933316,133,3.59,1,3.59,West,Female,37,No
495424205,256,3.99,1,3.99,Mid-Atlantic,Female,27,No
702934775,211,3.99,1,3.99,West,Male,30,No
310332146,258,3.29,1,3.29,South-West,Male,38,No
759182220,61,11.52,4,3.15,South-West,Female,20,Yes
595766079,222,3.99,1,3.99,Mid-Atlantic,Female,17,Yes
2441784986,181,3.29,1,3.29,West,Male,53,Yes
2237759398,130,16.77,3,6,South-West,Male,49,No
440578269,34,4.39,1,4.39,Mid-West,Male,52,No
3813418277,49,3.29,1,3.29,West,Female,32,No
4622073429,57,3.99,1,3.99,Mid-Atlantic,Female,27,Yes
4639855020,44,3.99,1,3.99,Mid-Atlantic,Female,37,Yes
609368046,263,3.49,1,3.49,West,Male,37,No
474540156,24,5,2,2.5,West,Male,62,Yes
685356262,174,3.59,1,3.59,South-East,Male,25,No
619437104,235,3.49,1,3.49,South-East,Female,37,Yes
2195816310,162,3.49,1,3.49,West,Female,38,No
682882374,124,20.54,6,3.39,West,Female,41,Yes
1927995977,169,3.59,1,3.59,Mid-West,Female,41,No
744433697,163,4.39,1,4.39,Mid-West,Female,55,Yes
1864154953,122,3.99,1,3.99,Mid-West,Female,46,No
4635818866,158,9.18,2,4.59,Mid-Atlantic,Female,67,Yes
4624652563,70,3.79,1,3.79,Mid-Atlantic,Female,27,Yes
4263829899,18,5.38,2,5.38,North-West,Female,42,Yes
496603878,130,13.16,4,1.99,Mid-Atlantic,Male,33,No
1934586971,123,5.49,2,2.5,South-East,Male,36,No
2680287112,175,4.98,1,4.98,West,Female,38,Yes
687944979,60,9.43,3,3.19,South-East,Female,25,Yes
3796442295,156,3.59,1,3.59,West,Male,72,Yes
597605250,230,3.99,1,3.99,Mid-Atlantic,Male,42,Yes
473373560,57,3.99,1,3.99,South-East,Female,32,Yes
2692789101,186,10.9,2,4.76,North-West,Male,28,Yes
4637688557,138,8.28,2,3.79,Mid-Atlantic,Male,42,Yes
2712591985,40,6.98,1,6.98,South-East,Female,18,Yes
494966825,272,4.49,1,4.49,Mid-Atlantic,Female,42,Yes
3599294637,151,5.21,2,2.42,Mid-West,Female,72,No
3014799222,139,3.94,1,3.94,South-East,Female,23,Yes
3633756148,134,9.76,3,3.24,South-East,Male,32,No
583944674,41,13.87,3,3.69,South-East,Female,43,No
538873882,342,8.78,2,4.49,Mid-Atlantic,Male,27,No
1886539584,218,3.49,2,3.49,West,Male,41,Yes
4632632730,127,3.79,1,3.79,Mid-Atlantic,Female,27,Yes
2615749795,220,3.29,1,3.29,Mid-Atlantic,Female,28,Yes
498798832,294,3.29,1,3.29,Mid-Atlantic,Female,17,No
475909034,302,3.49,1,3.49,North-West,Male,37,No
700613542,33,9.57,3,2.99,West,Female,40,Yes
1877928249,168,9.28,2,3.99,Mid-Atlantic,Female,36,Yes
754271830,168,5.88,2,2.79,Mid-West,Female,40,Yes
1860422260,247,3.29,1,3.29,Mid-West,Female,46,No
599731403,287,12.37,2,7.98,Mid-Atlantic,Female,38,No
2305518288,128,3.49,1,3.49,West,Male,48,Yes
734283792,157,3.39,1,3.39,Mid-West,Female,60,No
593768214,48,15.96,4,3.99,Mid-Atlantic,Female,43,Yes
621683686,218,3.49,1,3.49,South-East,Male,22,No
417281790,137,6.28,2,2.99,Mid-West,Female,37,No
583698818,152,7.98,2,3.99,Mid-Atlantic,Male,37,No
498341258,80,5.76,2,2.99,Mid-Atlantic,Female,27,Yes
402128111,63,8.47,3,2.79,West,Male,57,Yes
2148819662,81,3.49,1,3.49,North-West,Male,28,Yes
3389946164,43,3.66,1,3.66,South-East,Male,37,Yes
308246248,223,3.49,1,3.49,South-West,Female,33,No
125452303,196,4.99,2,1.5,South-East,Female,41,No
602909345,156,9.97,2,5.98,Mid-Atlantic,Female,32,No
500283591,208,3.19,1,3.19,Mid-Atlantic,Male,52,Yes
565659080,88,6.28,2,2.99,Mid-Atlantic,Female,42,Yes
4624550698,94,6.88,2,3.69,Mid-West,Male,57,No
4635238333,201,3.99,1,3.99,Mid-Atlantic,Male,27,No
97795325,87,13.17,3,4.49,South-East,Male,51,Yes
3409674857,34,6.58,2,2.99,North-East,Male,37,No
2889423471,170,4.23,1,4.23,Mid-West,Male,23,No
3523629962,182,7.18,2,3.59,North-East,Male,52,Yes
2701416554,31,16.53,5,3.39,West,Female,49,Yes
4631087152,159,3.39,1,3.39,Mid-Atlantic,Female,47,Yes
592677226,215,12.54,2,8.36,West,Female,33,No
496555878,40,5.99,2,2.99,Mid-Atlantic,Female,37,Yes
3037998038,202,9.37,3,2.89,Mid-Atlantic,Male,48,Yes
1622422384,56,5.98,2,2.99,West,Male,36,No
616510414,69,6.14,2,3.15,Mid-West,Male,47,No
2442713752,170,8.89,3,2.2,West,Female,38,Yes
3576117153,77,12.78,4,6,South-West,Female,38,Yes
556841105,107,4.59,1,4.59,Mid-Atlantic,Male,32,No
691182406,270,7.28,2,3.39,West,Male,30,No
659696420,108,7.98,1,7.98,Mid-Atlantic,Female,45,Yes
449918422,63,3.59,1,3.59,North-West,Female,37,Yes
754081888,336,3.79,1,3.79,West,Male,40,No
2681593576,66,17.62,5,3.66,South-East,Female,34,Yes
4633629417,179,18.06,4,4.69,Mid-Atlantic,Male,38,Yes
3604535297,252,6.58,2,3.29,Mid-West,Male,47,No
3622329566,45,3.5,1,3.5,Mid-West,Male,37,No
3898611415,28,5,1,5,Mid-West,Male,32,Yes
257308020,60,3.15,1,3.15,Mid-West,Male,43,No
564974670,18,6.98,2,2.99,Mid-Atlantic,Male,47,Yes
473217038,59,8.16,2,3.47,West,Male,42,Yes
557514766,161,3.19,1,3.19,Mid-Atlantic,Female,37,No
244875967,223,3.29,1,3.29,Mid-West,Female,33,Yes
741702807,159,3.99,1,3.99,South-West,Male,50,No
4621036107,46,12.27,3,4.49,Mid-Atlantic,Female,48,Yes
495671265,23,24.44,6,3.99,Mid-Atlantic,Female,43,Yes
476208923,336,9,1,9,West,Female,37,No
2502244932,32,10,4,5,West,Male,43,Yes
475162688,166,3.59,1,3.59,South-East,Female,27,Yes
611162134,158,7.48,2,3.69,West,Male,42,Yes
2310124264,47,3.99,1,3.99,Mid-Atlantic,Female,43,Yes
1735804886,55,10.37,3,3.49,West,Male,46,Yes
2812769134,183,4.79,1,4.79,West,Female,43,Yes
500204877,53,15.86,4,3,Mid-Atlantic,Female,33,No
959019742,95,8.57,3,2.99,West,Male,35,No
482918149,70,4.39,1,4.39,South-West,Male,47,No
582914944,245,7.98,2,7.98,Mid-Atlantic,Male,47,Yes
584079587,171,3.99,1,3.99,Mid-Atlantic,Female,42,Yes
2429583259,27,7.56,2,5.89,Mid-West,Male,33,No
497592810,199,3.19,1,3.19,Mid-Atlantic,Male,42,Yes
599482965,26,9.28,2,3.99,Mid-Atlantic,Female,37,No
712772608,71,14.36,4,3.09,Mid-West,Female,46,Yes
2981331805,227,3.39,1,3.39,West,Male,38,No
564803900,143,3.19,1,3.19,Mid-Atlantic,Male,22,No
98500404,68,6.48,2,3.49,South-East,Male,35,No
497480843,290,6.28,2,2.99,Mid-Atlantic,Male,27,No
662140608,37,10.97,3,3.99,Mid-Atlantic,Female,45,Yes
4618478241,137,3.99,1,3.99,Mid-Atlantic,Male,37,Yes
3383832175,46,3.69,1,3.69,North-West,Male,52,No
760818905,53,3.49,1,3.49,North-West,Male,35,No
2225686354,130,3.29,1,3.29,West,Male,53,Yes
2210267611,187,3.19,1,3.19,West,Female,63,Yes
308221197,51,9.49,3,3,South-West,Female,48,Yes
583353175,257,4.39,1,4.39,Mid-Atlantic,Male,32,Yes
4628775156,78,11.57,3,3.99,Mid-West,Male,47,No
499813005,64,12.66,4,2.99,Mid-Atlantic,Female,28,Yes
4642341419,256,3.99,1,3.99,Mid-Atlantic,Female,32,No
310248245,111,6.49,2,3,South-West,Female,38,Yes
479115800,38,13.96,4,3.49,West,Female,58,Yes
3595656194,162,9.67,3,6.38,Mid-Atlantic,Female,52,Yes
459987174,49,10,4,5,West,Male,62,Yes
4362063841,31,11.09,3,5.38,Mid-West,Male,52,Yes
558320750,31,16.65,5,2.99,Mid-Atlantic,Female,38,Yes
500876637,222,3.29,1,3.29,Mid-Atlantic,Male,27,No
3998645453,297,3.99,1,3.99,Mid-Atlantic,Male,32,No
679458798,65,10.29,3,3.19,South-West,Male,35,No
1954081883,29,5.6,2,2.96,Mid-West,Female,76,No
217885997,43,5.98,2,5.98,North-West,Female,38,No
123986927,164,6.39,2,2.4,South-East,Male,61,No
4629420958,51,3.79,1,3.79,Mid-West,Male,47,Yes
761462083,67,3.44,1,3.44,West,Male,50,Yes
687616608,98,17.3,5,2.95,Mid-West,Male,76,No
4638531616,150,3.89,1,3.89,Mid-Atlantic,Female,22,Yes
498165989,83,13.95,3,2.99,Mid-Atlantic,Female,53,Yes
500289695,146,7.18,2,3.99,Mid-Atlantic,Female,37,No
3005321040,295,7.18,1,7.18,South-West,Female,48,No
3792855384,163,3.24,1,3.24,South-East,Female,37,No
4630793777,235,18.61,5,4.59,Mid-West,Female,43,Yes
496581824,101,30.42,6,11.47,Mid-Atlantic,Male,43,Yes
2380702776,203,6.98,2,3.49,West,Female,63,Yes
496431493,42,8.97,3,2.99,Mid-Atlantic,Female,42,Yes
443574311,195,6.43,2,3,South-East,Female,47,Yes
141737244,32,12.56,4,5.58,South-East,Female,47,Yes
4631856860,235,4.69,1,4.69,Mid-Atlantic,Female,52,Yes
495459724,158,3.19,1,3.19,Mid-Atlantic,Male,37,No
4122155073,273,3.49,1,3.49,South-East,Male,57,No
654969407,27,6.16,2,2.98,West,Female,40,Yes
3518080521,74,3.49,1,3.49,North-West,Female,42,Yes
445331574,175,5.88,2,3.59,West,Male,42,Yes
597956744,250,3.99,1,3.99,Mid-Atlantic,Female,27,Yes
475656880,23,12.38,3,3.19,North-West,Female,53,No
561487411,160,7.98,2,3.99,Mid-Atlantic,Male,37,No
495073393,95,3.99,1,3.99,Mid-Atlantic,Female,27,No
140358956,61,3.39,1,3.39,North-East,Male,36,Yes
310217554,46,10.28,3,3,South-West,Male,33,No
498085447,95,6.18,2,2.99,Mid-Atlantic,Female,27,No
555403513,359,3.29,1,3.29,Mid-Atlantic,Female,27,No
3875350077,97,3.29,1,3.29,North-West,Male,42,No
2435039090,83,31.13,7,4.79,West,Female,49,Yes
562725740,20,13.56,4,3.99,Mid-Atlantic,Male,43,Yes
583992250,186,12.37,3,3.99,Mid-Atlantic,Female,38,No
561969599,122,7.38,2,3.99,Mid-Atlantic,Male,32,No
2842502332,68,5.44,2,2.94,West,Female,38,Yes
308471681,77,12.59,3,6,South-West,Male,34,No
4618177511,33,19.86,3,8.49,Mid-West,Female,58,No
563130303,214,3.99,1,3.99,Mid-Atlantic,Female,17,Yes
4633217688,110,3.99,1,3.99,Mid-Atlantic,Female,32,Yes
2552705595,151,3.49,1,3.49,West,Female,33,Yes
658610183,27,10.97,3,3.99,Mid-Atlantic,Female,40,Yes
246947780,48,6.58,1,6.58,West,Female,48,Yes
3521347031,110,7.29,2,4.29,West,Female,37,No
3781284458,278,5.29,1,5.29,North-East,Male,32,No
500378929,60,11.17,3,3.99,Mid-Atlantic,Female,32,No
4038116638,97,5.11,2,2.69,North-West,Female,32,Yes
4616007102,108,3.79,1,3.79,Mid-Atlantic,Male,22,No
4208863577,93,3.45,1,3.45,Mid-West,Female,47,No
710033998,24,12.79,3,2.79,West,Female,36,No
126030064,60,12.49,2,8,South-East,Male,37,No
560733802,94,6.18,2,2.99,Mid-Atlantic,Female,27,Yes
1853085363,204,3.99,1,3.99,Mid-Atlantic,Male,46,Yes
566819886,182,10.97,3,3.99,Mid-Atlantic,Female,37,Yes
2615732492,201,4.29,1,4.29,West,Male,28,No
308829093,166,10.57,2,6.98,South-West,Female,23,No
938221324,259,3.59,1,3.59,West,Female,30,No
1886497897,220,7.98,2,3.99,Mid-Atlantic,Female,31,No
608551951,34,3.99,1,3.99,Mid-West,Female,47,Yes
3886239111,214,3.99,1,3.99,Mid-Atlantic,Female,32,Yes
4637359222,123,7.88,2,3.99,South-East,Female,37,No
3966839088,24,20.38,5,2.5,Mid-West,Female,63,Yes
4618491097,133,8.78,2,8.78,Mid-West,Female,32,Yes
613288352,38,6.38,2,3.19,South-East,Female,37,No
4631446052,95,3.19,1,3.19,Mid-West,Male,37,No
2444047235,56,3.54,1,3.54,Mid-West,Female,18,No
509497264,261,5.98,1,5.98,South-West,Male,47,No
2551345532,54,6.58,1,6.58,Mid-Atlantic,Female,28,Yes
2652837502,241,3.99,1,3.99,Mid-Atlantic,Female,48,Yes
3593318573,172,3.19,1,3.19,Mid-Atlantic,Female,37,No
4621014384,255,3.89,1,3.89,South-East,Female,42,No
1826734869,201,6.78,1,6.78,West,Female,46,Yes
495930601,69,25.52,4,5.98,Mid-Atlantic,Male,48,Yes
4626396218,107,7.08,2,3.49,Mid-West,Male,37,No
563920807,250,3.29,1,3.29,Mid-Atlantic,Female,57,Yes
684694527,44,3.45,1,3.45,Mid-West,Male,35,No
2546591314,177,5.99,2,2.5,West,Male,53,Yes
749583111,315,3.69,1,3.69,West,Female,35,No
4618023089,136,3.19,1,3.19,Mid-West,Female,27,Yes
117012979,163,3.3,1,3.3,South-East,Male,41,Yes
341023155,220,10.17,2,6.58,West,Female,52,Yes
308357936,71,9.98,3,3,South-West,Male,38,Yes
2292636679,57,3.69,1,3.69,South-East,Female,43,No
495242967,96,5.76,2,2.77,Mid-Atlantic,Female,52,Yes
496045463,72,9.37,3,2.99,Mid-Atlantic,Male,37,No
602287357,346,8.78,1,8.78,Mid-Atlantic,Female,27,No
2620945108,94,6.99,2,3,South-West,Male,38,Yes
2235301292,160,13.16,2,13.16,West,Male,44,Yes
2518849529,281,5,2,5,North-West,Male,58,No
557307017,55,6,1,6,Mid-Atlantic,Male,37,Yes
3555539001,52,3.29,1,3.29,Mid-West,Female,47,Yes
4627390502,67,22.94,5,3.99,Mid-West,Male,53,Yes
4626503281,88,7.58,2,3.79,Mid-Atlantic,Male,47,Yes
749847060,205,6.78,2,3.39,West,Female,20,No
600089325,155,26.33,7,5.98,Mid-Atlantic,Male,48,Yes
4622955573,32,3.99,1,3.99,Mid-Atlantic,Male,37,Yes
3837871987,214,3.59,1,3.59,North-East,Male,57,Yes
140240072,272,4.49,1,4.49,South-East,Female,46,Yes
735319964,37,4.39,1,4.39,Mid-West,Female,60,Yes
733784260,107,3.69,1,3.69,South-West,Male,30,No
585235133,179,5.29,1,5.29,Mid-Atlantic,Female,42,Yes
2906093725,42,9.28,2,3.99,Mid-Atlantic,Female,23,No
3960451727,130,3.29,1,3.29,West,Male,67,Yes
4630952463,110,3.99,1,3.99,Mid-West,Female,37,No
2177637745,173,5.58,2,5.58,North-East,Male,68,Yes
567886763,40,30.7,8,2.97,South-East,Female,38,No
476664504,113,6.98,2,3.49,West,Male,32,No
4632006785,331,3.99,1,3.99,Mid-West,Male,42,No
1830481116,78,13.16,3,5.98,Mid-Atlantic,Female,32,No
4616634509,48,3.99,1,3.99,Mid-Atlantic,Female,27,No
681174729,60,6.88,2,3.44,West,Female,45,Yes
312841104,314,7.18,2,3.59,South-West,Female,52,No
3979546561,222,6.48,2,3.49,South-West,Female,47,No
139959429,47,3.49,1,3.49,North-East,Male,56,Yes
725877399,193,3.79,1,3.79,South-East,Female,55,No
602838762,32,11.37,3,2.99,Mid-Atlantic,Female,37,Yes
599882058,356,4.39,1,4.39,Mid-Atlantic,Male,32,No
557880411,265,5.29,1,5.29,Mid-Atlantic,Male,37,No
436999426,44,3.39,1,3.39,West,Female,62,Yes
308489668,30,9.59,3,3,South-West,Male,48,No
716417597,159,4.69,1,4.69,South-East,Female,35,No
562528734,202,12.96,4,3.19,Mid-Atlantic,Male,43,Yes
4011259083,170,22.46,6,3.59,West,Male,53,Yes
687718579,156,3.99,1,3.99,South-East,Male,25,No
581322969,148,6.98,2,3.49,South-East,Male,32,Yes
497848710,156,10.37,2,3.99,Mid-Atlantic,Female,37,Yes
3695105568,16,7.86,3,2.62,South-East,Female,37,Yes
497978920,96,18.43,5,3.99,Mid-Atlantic,Female,23,No
599377365,43,28.34,6,3.99,Mid-Atlantic,Female,63,Yes
4634298794,225,3.49,1,3.49,South-East,Female,42,No
4642431714,161,7.98,1,7.98,Mid-Atlantic,Female,42,Yes
500569019,54,3.99,1,3.99,Mid-Atlantic,Male,37,No
3369103927,225,5.29,1,5.29,Mid-Atlantic,Female,57,Yes
310277066,187,6.98,1,6.98,South-West,Female,38,No
3053090525,199,3.29,1,3.29,West,Male,48,Yes
720737983,124,6.18,2,2.99,South-East,Male,40,Yes
496328170,20,7.98,2,3.99,Mid-Atlantic,Male,57,Yes
576219241,302,6.68,2,3.29,Mid-Atlantic,Male,37,No
3386591450,44,8.38,2,3.99,Mid-Atlantic,Male,37,No
582842490,177,3.99,1,3.99,Mid-Atlantic,Female,47,Yes
4634256579,169,3.99,1,3.99,Mid-Atlantic,Female,42,Yes
723484116,180,6.88,2,3.39,West,Female,45,Yes
238320748,72,35.93,7,3.99,Mid-Atlantic,Female,49,Yes
4641842620,249,12.97,3,4.49,Mid-Atlantic,Male,43,Yes
4637029907,83,3.99,1,3.99,Mid-West,Female,82,No
712240261,140,8.78,2,4.39,West,Female,30,No
678716175,211,4.19,1,4.19,West,Female,35,Yes
1822966533,76,6.18,2,6.18,West,Female,46,Yes
1780284780,218,3.59,1,3.59,West,Female,51,Yes
474215772,125,6.48,2,3.29,West,Male,32,No
4633200671,52,19.95,5,3.99,Mid-Atlantic,Female,38,Yes
4626029906,115,8.98,2,4.49,Mid-Atlantic,Female,32,Yes
496221488,66,18.55,4,3.99,Mid-Atlantic,Male,63,Yes
758870530,65,3.04,1,3.04,Mid-West,Male,45,No
3278814909,34,4.49,1,4.49,North-East,Female,32,No
470938480,76,6.38,2,2.79,North-West,Female,42,No
495508752,84,9.57,3,2.99,Mid-Atlantic,Female,42,Yes
621128942,361,3.49,1,3.49,South-East,Male,47,No
4631303289,77,12.77,3,4.99,Mid-Atlantic,Female,48,Yes
696946017,244,3.39,1,3.39,Mid-West,Male,55,No
563717950,251,3.19,1,3.19,Mid-Atlantic,Female,47,Yes
563377629,59,11.97,3,3.99,Mid-Atlantic,Male,23,Yes
449896407,267,3.99,1,3.99,West,Male,52,Yes
4630518131,154,7.58,1,7.58,Mid-Atlantic,Female,42,Yes
3572747616,40,4.29,1,4.29,Mid-West,Male,67,No
107767434,309,3.49,1,3.49,South-East,Male,41,No
496469748,160,6.38,1,6.38,Mid-Atlantic,Female,52,Yes
557895788,71,29.51,9,3.99,Mid-Atlantic,Male,43,Yes
125726108,51,3.99,1,3.99,South-East,Female,41,No
1763355035,47,10,2,5,West,Female,41,Yes
566398572,56,33.16,11,3,Mid-Atlantic,Female,43,No
497282178,49,18.26,6,3,Mid-Atlantic,Female,38,No
4171867513,105,5.24,2,2.62,South-East,Female,47,No
563333093,155,3.19,1,3.19,Mid-Atlantic,Male,37,No
4629767315,39,57.28,12,4.99,Mid-West,Female,48,Yes
685192421,36,15.21,5,3.19,South-West,Male,41,No
686512373,153,3.15,1,3.15,South-West,Female,45,No
451839685,148,3.59,1,3.59,West,Female,42,Yes
472091548,77,6,1,6,West,Male,47,Yes
2521196436,39,31.93,6,3.99,Mid-Atlantic,Female,44,Yes
435690461,224,3.39,1,3.39,West,Female,32,No
399385575,185,4.39,1,4.39,South-West,Female,47,Yes
2259424674,207,3.29,1,3.29,West,Male,43,Yes
4316893322,132,3.99,1,3.99,Mid-West,Female,42,No
496835835,202,3.99,1,3.99,Mid-Atlantic,Female,27,Yes
4622682672,342,3.85,1,3.85,Mid-West,Female,42,No
4618152087,27,3.39,1,3.39,Mid-Atlantic,Male,37,No
729406198,69,10.52,3,3.54,Mid-West,Female,40,Yes
495189855,103,3.99,1,3.99,Mid-Atlantic,Female,42,Yes
3461434127,45,12.26,4,3.59,Mid-Atlantic,Male,48,Yes
398731308,55,6.29,2,6.29,West,Male,42,Yes
3991002834,20,12.22,4,3.08,South-East,Male,28,No
4634978266,29,9.57,3,3.19,Mid-West,Female,42,Yes
598667657,161,6.98,2,2.99,Mid-Atlantic,Female,27,No
582565774,45,5.29,1,5.29,Mid-Atlantic,Male,37,Yes
436943413,196,3.2,1,3.2,West,Female,47,Yes
4256593470,84,7.99,1,7.99,West,Male,52,Yes
739383512,130,12.77,3,4.39,West,Male,56,Yes
3052402807,226,3.94,1,3.94,Mid-West,Male,58,No
495996064,65,7.49,1,7.49,Mid-Atlantic,Male,57,Yes
556627665,110,7.49,1,7.49,Mid-Atlantic,Female,37,Yes
4637085366,32,4.69,1,4.69,Mid-Atlantic,Female,32,Yes
4617157742,131,8.48,2,4.49,Mid-West,Male,47,Yes
724345032,51,3.44,1,3.44,West,Female,50,Yes
713089702,122,14.95,4,2.99,South-West,Female,51,No
562997606,240,3.99,1,3.99,Mid-Atlantic,Female,37,No
1856440838,147,6.64,2,6.64,Mid-West,Female,46,No
4625269147,56,3.99,1,3.99,Mid-West,Male,77,No
499868650,188,6.48,2,3.19,Mid-Atlantic,Male,37,No
4118682595,79,7.99,2,4,Mid-Atlantic,Male,52,Yes
2366376065,126,17.55,5,3.39,West,Male,44,Yes
